"subjectID","wave","task","run","nVols","percent"
"TAG055",1,"SVC",2,2,1.1
"TAG056",1,"DSD",1,8,3.6
"TAG056",1,"DSD",2,5,2.2
"TAG056",1,"rest",1,0,0
"TAG056",1,"rest",2,0,0
"TAG056",1,"SVC",1,0,0
"TAG056",1,"SVC",2,3,1.7
"TAG057",1,"DSD",1,97,43.1
"TAG057",1,"DSD",2,111,49.3
"TAG057",1,"rest",1,11,4.1
"TAG057",1,"rest",2,9,3.3
"TAG057",1,"SVC",1,26,14.4
"TAG057",1,"SVC",2,11,6.1
"TAG058",1,"DSD",1,224,99.6
"TAG058",1,"DSD",2,224,99.6
"TAG058",1,"rest",1,0,0
"TAG058",1,"rest",2,0,0
"TAG058",1,"SVC",1,179,99.4
"TAG058",1,"SVC",2,179,99.4
"TAG059",1,"DSD",1,0,0
"TAG059",1,"DSD",2,9,4
"TAG059",1,"rest",1,3,1.1
"TAG059",1,"rest",2,16,5.9
"TAG059",1,"SVC",1,1,0.6
"TAG060",1,"DSD",1,2,0.9
"TAG060",1,"DSD",2,0,0
"TAG060",1,"rest",1,0,0
"TAG060",1,"rest",2,0,0
"TAG060",1,"SVC",1,0,0
"TAG060",1,"SVC",2,2,1.1
"TAG062",1,"DSD",1,11,4.9
"TAG062",1,"DSD",2,52,23.1
"TAG062",1,"rest",1,0,0
"TAG062",1,"rest",2,0,0
"TAG062",1,"SVC",1,11,6.1
"TAG062",1,"SVC",2,17,9.4
"TAG064",1,"DSD",1,58,25.8
"TAG064",1,"DSD",2,60,26.7
"TAG064",1,"rest",1,0,0
"TAG064",1,"rest",2,0,0
"TAG064",1,"SVC",1,0,0
"TAG064",1,"SVC",2,15,8.3
"TAG065",1,"DSD",1,11,4.9
"TAG065",1,"DSD",2,1,0.4
"TAG065",1,"rest",1,0,0
"TAG065",1,"rest",2,0,0
"TAG065",1,"SVC",1,2,1.1
"TAG065",1,"SVC",2,0,0
"TAG066",1,"DSD",1,15,6.7
"TAG066",1,"DSD",2,4,1.8
"TAG066",1,"rest",1,0,0
"TAG066",1,"rest",2,0,0
"TAG066",1,"SVC",1,3,1.7
"TAG066",1,"SVC",2,5,2.8
"TAG067",1,"DSD",1,5,2.2
"TAG067",1,"DSD",2,0,0
"TAG067",1,"rest",1,0,0
"TAG067",1,"rest",2,0,0
