"subjectID","wave","task","nVols","percent"
"TAG130",1,"SVC",10,2.8
"TAG131",1,"DSD",116,25.8
"TAG131",1,"rest",3,0.6
"TAG131",1,"SVC",24,6.7
"TAG132",1,"DSD",0,0
"TAG132",1,"rest",0,0
"TAG132",1,"SVC",2,0.6
"TAG137",1,"DSD",134,29.8
"TAG137",1,"rest",22,4.1
"TAG137",1,"SVC",34,9.4
"TAG138",1,"DSD",66,14.7
"TAG138",1,"rest",60,11.1
"TAG138",1,"SVC",18,5
"TAG140",1,"DSD",37,8.2
"TAG140",1,"rest",0,0
"TAG140",1,"SVC",0,0
"TAG141",1,"DSD",50,11.1
"TAG141",1,"rest",0,0
"TAG141",1,"SVC",1,0.3
"TAG143",1,"DSD",93,20.7
"TAG143",1,"rest",0,0
"TAG143",1,"SVC",16,4.4
"TAG144",1,"DSD",14,3.1
"TAG144",1,"rest",0,0
"TAG144",1,"SVC",2,0.6
"TAG145",1,"DSD",9,2
"TAG145",1,"rest",14,2.6
"TAG145",1,"SVC",2,0.6
"TAG147",1,"DSD",3,0.7
"TAG147",1,"rest",3,0.4
"TAG147",1,"SVC",2,0.6
"TAG149",1,"DSD",10,2.2
"TAG149",1,"rest",0,0
"TAG149",1,"SVC",12,3.3
"TAG152",1,"DSD",37,8.2
"TAG152",1,"rest",4,0.7
"TAG152",1,"SVC",7,1.9
"TAG155",1,"DSD",2,0.4
"TAG155",1,"rest",0,0
"TAG155",1,"SVC",9,2.5
"TAG159",1,"DSD",1,0.2
"TAG159",1,"rest",0,0
"TAG159",1,"SVC",1,0.3
"TAG160",1,"DSD",17,3.8
"TAG160",1,"rest",7,1.3
"TAG160",1,"SVC",8,2.2
"TAG164",1,"DSD",5,1.1
"TAG164",1,"rest",0,0
"TAG164",1,"SVC",1,0.3
"TAG165",1,"DSD",95,21.1
"TAG165",1,"rest",22,2.8
"TAG165",1,"SVC",33,9.2
"TAG166",1,"DSD",2,0.4
"TAG166",1,"rest",0,0
"TAG166",1,"SVC",3,1.7
"TAG167",1,"DSD",11,2.4
"TAG167",1,"rest",2,0.7
"TAG167",1,"SVC",0,0
"TAG169",1,"DSD",20,4.4
"TAG169",1,"rest",0,0
"TAG169",1,"SVC",5,1.4
"TAG173",1,"DSD",0,0
"TAG173",1,"rest",0,0
"TAG173",1,"SVC",1,0.3
"TAG174",1,"SVC",9,2.5
"TAG175",1,"DSD",49,10.9
"TAG175",1,"SVC",2,0.6
"TAG176",1,"DSD",92,20.4
"TAG176",1,"rest",3,0.6
"TAG176",1,"SVC",3,0.8
"TAG177",1,"rest",12,2.2
"TAG177",1,"SVC",0,0
"TAG179",1,"DSD",2,0.4
"TAG179",1,"rest",0,0
"TAG179",1,"SVC",0,0
"TAG180",1,"DSD",1,0.2
"TAG180",1,"rest",0,0
"TAG180",1,"SVC",0,0
"TAG181",1,"DSD",11,2.4
"TAG181",1,"rest",1,0.2
"TAG181",1,"SVC",6,1.7
"TAG186",1,"DSD",86,19.1
