"","coi"
"348","aseg_58_lh.Parcel_44"
"349","aseg_58_lh.Parcel_6"
"350","aseg_58_lh.Parcel_94"
"351","aseg_58_rh.Parcel_162"
"352","aseg_58_rh.Parcel_165"
"353","aseg_58_rh.Parcel_184"
"354","aseg_58_rh.Parcel_186"
"355","aseg_58_rh.Parcel_200"
"356","aseg_58_rh.Parcel_220"
"357","aseg_58_rh.Parcel_225"
"358","aseg_58_rh.Parcel_257"
"359","aseg_58_rh.Parcel_259"
"360","aseg_58_rh.Parcel_278"
"361","aseg_58_rh.Parcel_279"
"362","aseg_58_rh.Parcel_290"
"363","aseg_58_rh.Parcel_315"
"364","aseg_58_rh.Parcel_316"
"365","aseg_58_rh.Parcel_321"
"366","aseg_58_rh.Parcel_322"
"367","aseg_58_rh.Parcel_323"
"368","aseg_58_rh.Parcel_324"
"369","aseg_58_rh.Parcel_325"
"370","aseg_58_rh.Parcel_326"
"371","aseg_58_rh.Parcel_331"
"372","aseg_58_rh.R_a24_ROI"
"373","lh.L_a24_ROI_lh.Parcel_1"
"374","lh.L_a24_ROI_lh.Parcel_114"
"375","lh.L_a24_ROI_lh.Parcel_116"
"376","lh.L_a24_ROI_lh.Parcel_117"
"377","lh.L_a24_ROI_lh.Parcel_126"
"378","lh.L_a24_ROI_lh.Parcel_127"
"379","lh.L_a24_ROI_lh.Parcel_145"
"380","lh.L_a24_ROI_lh.Parcel_146"
"381","lh.L_a24_ROI_lh.Parcel_150"
"382","lh.L_a24_ROI_lh.Parcel_151"
"383","lh.L_a24_ROI_lh.Parcel_152"
"384","lh.L_a24_ROI_lh.Parcel_154"
"385","lh.L_a24_ROI_lh.Parcel_156"
"386","lh.L_a24_ROI_lh.Parcel_157"
"387","lh.L_a24_ROI_lh.Parcel_25"
"388","lh.L_a24_ROI_lh.Parcel_26"
"389","lh.L_a24_ROI_lh.Parcel_4"
"390","lh.L_a24_ROI_lh.Parcel_44"
"391","lh.L_a24_ROI_lh.Parcel_6"
"392","lh.L_a24_ROI_lh.Parcel_94"
"393","lh.L_a24_ROI_rh.Parcel_162"
"394","lh.L_a24_ROI_rh.Parcel_165"
"395","lh.L_a24_ROI_rh.Parcel_184"
"396","lh.L_a24_ROI_rh.Parcel_186"
"397","lh.L_a24_ROI_rh.Parcel_200"
"398","lh.L_a24_ROI_rh.Parcel_220"
"399","lh.L_a24_ROI_rh.Parcel_225"
"400","lh.L_a24_ROI_rh.Parcel_257"
"401","lh.L_a24_ROI_rh.Parcel_259"
"402","lh.L_a24_ROI_rh.Parcel_278"
"403","lh.L_a24_ROI_rh.Parcel_279"
"404","lh.L_a24_ROI_rh.Parcel_290"
"405","lh.L_a24_ROI_rh.Parcel_315"
"406","lh.L_a24_ROI_rh.Parcel_316"
"407","lh.L_a24_ROI_rh.Parcel_321"
"408","lh.L_a24_ROI_rh.Parcel_322"
"409","lh.L_a24_ROI_rh.Parcel_323"
"410","lh.L_a24_ROI_rh.Parcel_324"
"411","lh.L_a24_ROI_rh.Parcel_325"
"412","lh.L_a24_ROI_rh.Parcel_326"
"413","lh.L_a24_ROI_rh.Parcel_331"
"414","lh.L_a24_ROI_rh.R_a24_ROI"
"415","lh.Parcel_1_rh.R_a24_ROI"
"416","lh.Parcel_114_rh.R_a24_ROI"
"417","lh.Parcel_116_rh.R_a24_ROI"
"418","lh.Parcel_117_rh.R_a24_ROI"
"419","lh.Parcel_126_rh.R_a24_ROI"
"420","lh.Parcel_127_rh.R_a24_ROI"
"421","lh.Parcel_145_rh.R_a24_ROI"
"422","lh.Parcel_146_rh.R_a24_ROI"
"423","lh.Parcel_150_rh.R_a24_ROI"
"424","lh.Parcel_151_rh.R_a24_ROI"
"425","lh.Parcel_152_rh.R_a24_ROI"
"426","lh.Parcel_154_rh.R_a24_ROI"
"427","lh.Parcel_156_rh.R_a24_ROI"
"428","lh.Parcel_157_rh.R_a24_ROI"
"429","lh.Parcel_25_rh.R_a24_ROI"
"430","lh.Parcel_26_rh.R_a24_ROI"
"431","lh.Parcel_4_rh.R_a24_ROI"
"432","lh.Parcel_44_rh.R_a24_ROI"
"433","lh.Parcel_6_rh.R_a24_ROI"
"434","lh.Parcel_94_rh.R_a24_ROI"
"435","rh.Parcel_162_rh.R_a24_ROI"
"436","rh.Parcel_165_rh.R_a24_ROI"
"437","rh.Parcel_184_rh.R_a24_ROI"
"438","rh.Parcel_186_rh.R_a24_ROI"
"439","rh.Parcel_200_rh.R_a24_ROI"
"440","rh.Parcel_220_rh.R_a24_ROI"
"441","rh.Parcel_225_rh.R_a24_ROI"
"442","rh.Parcel_257_rh.R_a24_ROI"
"443","rh.Parcel_259_rh.R_a24_ROI"
"444","rh.Parcel_278_rh.R_a24_ROI"
"445","rh.Parcel_279_rh.R_a24_ROI"
"446","rh.Parcel_290_rh.R_a24_ROI"
"447","rh.Parcel_315_rh.R_a24_ROI"
"448","rh.Parcel_316_rh.R_a24_ROI"
"449","rh.Parcel_321_rh.R_a24_ROI"
"450","rh.Parcel_322_rh.R_a24_ROI"
"451","rh.Parcel_323_rh.R_a24_ROI"
"452","rh.Parcel_324_rh.R_a24_ROI"
"453","rh.Parcel_325_rh.R_a24_ROI"
"454","rh.Parcel_326_rh.R_a24_ROI"
"455","rh.Parcel_331_rh.R_a24_ROI"
